circuitstring,Parameters
"R1-[L2-R3,P4]","{'R1': 139.14713058077828, 'L2': 4.7179016403767095e-09, 'R3': 4629850.954565811, 'P4w': 1.9866544201489497e-06, 'P4n': 0.9373079959316698}"
"[P1,P2-[R3,L4]]-R5","{'P1w': 9.503614832162238, 'P1n': 1.0, 'P2w': 932102500.0769538, 'P2n': 0.99999999985139, 'R3': 999999997.5006131, 'L4': 4.561727426090469, 'R5': 3224022.358994354}"
"[P1,R2]-R3","{'P1w': 1.986654419024036e-06, 'P1n': 0.9373079959163314, 'R2': 4629850.9486976955, 'R3': 139.14713040477724}"
"R1-[P2,R3]","{'R1': 139.14713067482847, 'P2w': 1.986654420023391e-06, 'P2n': 0.9373079955906576, 'R3': 4629850.950433112}"
"[P1-R2,R3]","{'P1w': 1.9865350111508528e-06, 'P1n': 0.9373079957925347, 'R2': 139.15131257413293, 'R3': 4629990.095876444}"
"P1-[R2,R3]-[L4,C5]-[R6,P7]","{'P1w': 695833803.0345474, 'P1n': 0.6577541181310834, 'R2': 3307425.2001328403, 'R3': 689583933.0054822, 'L4': 2.585774384707357, 'C5': 0.008999222444587545, 'R6': 226249052.70867103, 'P7w': 53.40290204129943, 'P7n': 0.9736598238131853}"
"[R1,R2-P3]-[C4,R5]","{'R1': 146.969220606597, 'R2': 930302004.8329732, 'P3w': 532649182.8895862, 'P3n': 0.5410135738750281, 'C4': 1.6066698363423297e-06, 'R5': 4191773.45259434}"
"[P1-[L2,P3],[[R4-C5,L6-P7],R8]]","{'P1w': 2.2534535379254496e-06, 'P1n': 0.8744535477575016, 'L2': 4.999975801304012, 'P3w': 0.0026345811449199176, 'P3n': 0.9999999333124114, 'R4': 486287686.8920995, 'C5': 3.503700537887585e-07, 'L6': 4.999991811064948, 'P7w': 2.2278651383598907e-07, 'P7n': 0.041820791634693696, 'R8': 984262411.2587428}"
"R1-[P2,[R3,P4]]","{'R1': 142.06322312672248, 'P2w': 1.7374203222790718e-06, 'P2n': 0.9624345575203931, 'R3': 999999999.9999995, 'P4w': 4.0628439493973436e-07, 'P4n': 0.1667769437233244}"
"[R1,P2]-R3","{'R1': 4629850.951700082, 'P2w': 1.9866544215207683e-06, 'P2n': 0.9373079957268895, 'R3': 139.14713051702412}"
"[P1,R2]-R3","{'P1w': 1.986654419725023e-06, 'P1n': 0.9373079958645587, 'R2': 4629850.955720179, 'R3': 139.14713040805296}"
"R1-[P2,R3]","{'R1': 139.14713051260458, 'P2w': 1.98665441825572e-06, 'P2n': 0.9373079957220549, 'R3': 4629850.956047877}"
